Label,Id,most_published_topic
Yonghong Tian,0,Machine Learning Algorithms and Theoretical AI
Xuhui Jiang,1,
Adrián Alonso,2,Large Language Models and Natural Language Processing
David Wipf,3,Large Language Models and Natural Language Processing
David Brellmann,4,Machine Learning Algorithms and Theoretical AI
Issei Yoshida,5,Machine Learning Algorithms and Theoretical AI
Xinxin Wang,6,"AI in Education, Art, and Creative Industries"
Caswell Barry,7,Machine Learning Algorithms and Theoretical AI
Qian Hu,8,"AI Ethics, Society, and Policy"
Ronghao Dang,9,"Robotics, Autonomous Systems, and Control"
Oren Salzman,10,"Robotics, Autonomous Systems, and Control"
Aakash Ajay Dave,11,
Ted Moskovitz,12,Machine Learning Algorithms and Theoretical AI
Naofumi Emoto,13,Large Language Models and Natural Language Processing
Vincent Dumoulin,14,Machine Learning Algorithms and Theoretical AI
Alind Khare,15,Large Language Models and Natural Language Processing
Edgar Galvan,16,Machine Learning Algorithms and Theoretical AI
Karim Pichara,17,Machine Learning Algorithms and Theoretical AI
Li Xiong,18,Machine Learning Algorithms and Theoretical AI
Alessio Cecconi,19,Machine Learning Algorithms and Theoretical AI
Xiaowen Yuan,20,"AI Ethics, Society, and Policy"
Xi Wu,21,Computer Vision and Image Processing
Mukund Sundararajan,22,"AI Ethics, Society, and Policy"
Bo Fan,23,Machine Learning Algorithms and Theoretical AI
Jiawei Ma,24,
Anil Murthy,25,"Robotics, Autonomous Systems, and Control"
Evan Morikawa,26,Large Language Models and Natural Language Processing
Matthew Cong,27,Computer Vision and Image Processing
Nicholas E. Silionis,28,Healthcare and Biomedical Applications of AI
Stephan Fricke,29,Healthcare and Biomedical Applications of AI
Tao Li,30,Machine Learning Algorithms and Theoretical AI
Nicholas Kersting,31,
Timothée Schmude,32,"AI Ethics, Society, and Policy"
Fangyu Liu,33,Large Language Models and Natural Language Processing
Alessandro Barp,34,Machine Learning Algorithms and Theoretical AI
Jun Li,35,Machine Learning Algorithms and Theoretical AI
Aluwani Mauda,36,Data Science and Analytics
Shaojie Li,37,AI for Industrial Automation and Manufacturing
Bjarne Gregori,38,"Robotics, Autonomous Systems, and Control"
Simon Teshuva,39,Machine Learning Algorithms and Theoretical AI
Romain Léguillon,40,Healthcare and Biomedical Applications of AI
Kangling Liu,41,Large Language Models and Natural Language Processing
Haonan Han,42,Computer Vision and Image Processing
MinChung Kim,43,Large Language Models and Natural Language Processing
Mehmet Kocak,44,Healthcare and Biomedical Applications of AI
Roy Hirsch,45,Computer Vision and Image Processing
Thomas Davies,46,"Robotics, Autonomous Systems, and Control"
Vladimir Bataev,47,Machine Learning Algorithms and Theoretical AI
Nicolas Cavrel,48,Machine Learning Algorithms and Theoretical AI
Xumeng Wen,49,
Gijs Dubbelman,50,Computer Vision and Image Processing
Tongwen Huang,51,"AI in Education, Art, and Creative Industries"
